label,input_len,tokens_generated,time_sec,tokens_per_sec,mem_before_mb,mem_after_mb
short,17,50,1.6333887239998148,30.611206790726975,754.53125,1198.99609375
medium,126,50,1.3785033379999732,36.2712215645001,1198.99609375,1199.859375
long,327,50,1.9380353149999792,25.79932347620845,1199.859375,1201.68359375
